<<<<<<< HEAD
at DT
a DT
Hoover NNP 
Institution NNP 
conference NN 
on DT
national JJ 
service DT
, , 
in DT
which WDT 
Mr. NNP 
Szanton OOV
also RB 
participated DT
. . 
 OOV
Drug DT
Emporium NNP 
Inc. DT
said DT
Gary NNP 
Wilber OOV
, , 
39 CD 
years NNS 
old JJ 
, , 
who WP 
had DT
been VBN 
president DT
and DT
chief DT
operating DT
officer NN 
for DT
the DT
past DT
year NN 
, , 
was VBD 
named DT
chief DT
executive DT
officer NN 
of DT
this DT
drugstore NN 
chain DT
. . 
 OOV
He PRP 
succeeds VBZ 
his DT
father NN 
, , 
Philip NNP 
T. NNP 
Wilber OOV
, , 
who WP 
founded DT
the DT
company NN 
and DT
remains DT
chairman NN 
. . 
 OOV
Robert NNP 
E. NNP 
Lyons NNP 
III NNP 
, , 
39 CD 
, , 
who WP 
headed DT
the DT
company NN 
's DT
Philadelphia NNP 
region NN 
, , 
was VBD 
appointed DT
president DT
and DT
chief DT
operating DT
officer NN 
, , 
succeeding VBG 
Gary NNP 
Wilber OOV
. . 
 OOV
American DT
Physicians NNP 
Service DT
Group NNP 
Inc. DT
said DT
it PRP 
purchased DT
about DT
42 CD 
% DT
of DT
Prime DT
Medical DT
Services DT
Inc. DT
for DT
about DT
$ $ 
5 CD 
million CD 
from IN 
Texas DT
American DT
Energy DT
Corp NNP 
. . 
 OOV
American DT
Physicians NNP 
said DT
it PRP 
also RB 
replaced DT
four CD 
Texas DT
American DT
representatives NNS 
on DT
Prime DT
's DT
five-member JJ 
board DT
. . 
 OOV
American DT
provides VBZ 
a DT
variety NN 
of DT
financial JJ 
services DT
to TO 
doctors NNS 
and DT
hospitals NNS 
. . 
 OOV
Prime DT
, , 
based DT
in DT
Bedminster OOV
, , 
N.J. NNP 
, , 
provides VBZ 
management NN 
services DT
to TO 
cardiac JJ 
rehabilitation NN 
clinics NNS 
and DT
diagnostic JJ 
imaging NN 
centers DT
. . 
 OOV
For IN 
the DT
year NN 
ended DT
June NNP 
30 CD 
, , 
Prime DT
had DT
a DT
net DT
loss NN 
of DT
$ $ 
3 DT
million CD 
on DT
sales DT
of DT
$ $ 
13.8 CD 
million CD 
. . 
 OOV
The DT
inflation-adjusted DT
growth DT
rate DT
for DT
France NNP 
's DT
gross JJ 
domestic DT
product NN 
for DT
the DT
second DT
quarter NN 
was VBD 
revised DT
upward DT
to TO 
0.8 CD 
% DT
from IN 
the DT
previous JJ 
three CD 
months NNS 
from IN 
the DT
initial DT
estimate DT
of DT
0.7 CD 
% DT
, , 
the DT
National DT
Statistics DT
Institute NNP 
said DT
. . 
 OOV
The DT
state DT
agency NN 
said DT
the DT
latest DT
revision NN 
left DT
the DT
growth DT
rate DT
for DT
the DT
first-quarter DT
compared DT
with DT
the DT
previous JJ 
three CD 
months NNS 
unchanged JJ 
at DT
1.3 CD 
% DT
. . 
 OOV
If IN 
the DT
economy NN 
continues VBZ 
to TO 
expand DT
by DT
0.8 CD 
% DT
a DT
quarter NN 
for DT
the DT
rest DT
of DT
the DT
year NN 
, , 
it PRP 
would MD 
leave DT
GDP NNP 
growth DT
for DT
all DT
of DT
1989 DT
at DT
3 DT
% DT
, , 
the DT
institute DT
said DT
. . 
 OOV
That DT
would MD 
be DT
down DT
from IN 
the DT
3.8 CD 
% DT
rise DT
posted DT
in DT
1988 CD 
. . 
 OOV
The DT
Canadian DT
government NN 
announced DT
a DT
new JJ 
, , 
12-year JJ 
Canada NNP 
Savings DT
Bond DT
issue DT
that DT
will DT
yield DT
investors NNS 
10.5 CD 
% DT
in DT
the DT
first DT
year NN 
. . 
 OOV
The DT
annual JJ 
interest DT
rate DT
for DT
each DT 
of DT
the DT
next DT
11 DT
years NNS 
will DT
be DT
set DT
each DT 
fall DT
, , 
when WRB 
details NNS 
of DT
a DT
new JJ 
series DT
are DT
released DT
. . 
 OOV
Canada NNP 
Savings DT
Bonds DT
are DT
major DT
government NN 
instruments NNS 
for DT
meeting DT
its PRP$ 
financial JJ 
requirements NNS 
. . 
 OOV
The DT
government NN 
has DT
about DT
41.4 CD 
billion CD 
Canadian DT
dollars NNS 
( ( 
US$ $ 
35.2 CD 
billion CD 
) ) 
of DT
such DT
bonds NNS 
currently RB 
outstanding JJ 
. . 
 OOV
Only DT
Canadian DT
residents NNS 
are DT
permitted DT
to TO 
buy DT
Canada NNP 
Savings DT
Bonds DT
, , 
which WDT 
may MD 
be DT
redeemed VBN 
any DT
time DT
at DT
face DT
value DT
. . 
 OOV
The DT
bonds NNS 
go DT
on DT
sale NN 
Oct. DT
19 CD 
. . 
 OOV
The DT
debate DT
over DT
National DT
Service DT
has DT
begun VBN 
again RB 
. . 
 OOV
After DT
a DT
decade NN 
in DT
which WDT 
more DT
than DT
50 CD 
localities OOV
established DT
their PRP$ 
own DT
service DT
or CC 
conservation NN 
corps DT
and DT
dozens NNS 
of DT
school DT
systems NNS 
made DT
community NN 
service DT
a DT
prerequisite OOV
to TO 
high-school DT
graduation NN 
, , 
the DT
focus DT
has DT
shifted DT
to TO 
Washington NNP 
. . 
 OOV
At IN 
least DT
10 CD 
bills DT
proposing VBG 
one DT
or CC 
another DT 
national JJ 
program DT
were VBD 
introduced DT
in DT
Congress NNP 
this DT
spring DT
. . 
 OOV
One DT
, , 
co-sponsored DT
by DT
Sen. NNP 
Sam NNP 
Nunn NNP 
( ( 
D. NNP 
, , 
Ga NNP 
. . 
) ) 
and DT
Rep. NNP 
Dave NNP 
McCurdy OOV
( ( 
D. NNP 
, , 
Okla. NNP 
) ) 
, , 
would MD 
have DT
restricted DT
federal JJ 
college NN 
subsidies NNS 
to TO 
students NNS 
who WP 
had DT
served DT
. . 
 OOV
An DT
omnibus DT
bill DT
assembled DT
by DT
Sen. NNP 
Edward NNP 
Kennedy NNP 
( ( 
D. NNP 
, , 
Mass. NNP 
) ) 
, , 
and DT
including VBG 
some DT
diluted DT
Nunn-McCurdy OOV
provisions NNS 
along DT
with DT
proposals NNS 
by DT
fellow DT
Democratic DT
Sens. DT
Claiborne NNP 
Pell NNP 
, , 
Barbara NNP 
Mikulski OOV
and DT
Christopher NNP 
Dodd NNP 
, , 
has DT
been VBN 
reported DT
out DT
of DT
the DT
Senate NNP 
Labor DT
Committee DT
. . 
 OOV
It PRP 
might DT
well DT
win DT
Senate NNP 
passage NN 
. . 
 OOV
President DT
Bush NNP 
has DT
outlined DT
his DT
own DT
Youth OOV
Entering OOV
Service DT
( ( 
YES OOV
) ) 
plan DT
, , 
though DT
its PRP$ 
details NNS 
remain DT
to TO 
be DT
specified DT
. . 
 OOV
What DT
is DT
one DT
to TO 
think DT
of DT
all DT
this DT
? . 
 OOV
Doctrine NNP 
and DT
special DT
interests DT
govern DT
some DT
responses NNS 
. . 
 OOV
People DT
eager JJ 
to TO 
have DT
youth NN 
`` `` 
pay DT
their PRP$ 
dues OOV
to TO 
society NN 
'' '' 
favor DT
service DT
proposals NNS 
-- : 
preferably RB 
mandatory JJ 
ones NNS 
. . 
 OOV
So DT
do DT
those DT 
who WP 
seek DT
a DT
`` `` 
re-energized OOV
concept NN 
of DT
citizenship NN 
, , 
'' '' 
a DT
concept NN 
imposing VBG 
stern JJ 
obligations NNS 
as DT
well DT
as DT
conferring VBG 
rights NNS 
. . 
 OOV
Then RB 
there DT
are DT
instinctive JJ 
opponents NNS 
. . 
 OOV
To TO 
libertarians NNS 
, , 
mandatory JJ 
service DT
is DT
an DT
abomination OOV
and DT
voluntary JJ 
systems NNS 
are DT
illegitimate JJ 
uses DT
of DT
tax DT
money NN 
. . 
 OOV
Devotees NNS 
of DT
the DT
market DT
question DT
the DT
value DT
of DT
the DT
work DT
national JJ 
service DT
would MD 
perform DT
: : 
 OOV
If IN 
the DT
market DT
wo MD 
n't RB 
pay DT
for DT
it PRP 
, , 
they PRP 
argue DT
, , 
it PRP 
ca MD 
n't RB 
be DT
worth DT
its PRP$ 
cost DT
. . 
 OOV
Elements OOV
of DT
the DT
left DT
are DT
also RB 
reflexively RB 
opposed DT
; : 
they PRP 
see DT
service DT
as DT
a DT
cover DT
for DT
the DT
draft DT
, , 
or CC 
fear DT
the DT
regimentation OOV
of DT
youth NN 
, , 
or CC 
want DT
to TO 
see DT
rights NNS 
enlarged JJ 
, , 
not RB 
obligations NNS 
. . 
 OOV
But DT
what DT
about DT
those DT 
of DT
us PRP 
whose WP$ 
views DT
are DT
not RB 
predetermined VBN 
by DT
formula NN 
or CC 
ideology NN 
? . 
 OOV
How WRB 
should MD 
we DT
think DT
about DT
national JJ 
service DT
? . 
 OOV
Let DT
's DT
begin DT
by DT
recognizing VBG 
a DT
main DT
source NN 
of DT
confusion NN 
-- : 
`` `` 
national JJ 
service DT
'' '' 
has DT
no DT
agreed DT
meaning DT
. . 
 OOV
Would MD 
service DT
be DT
voluntary JJ 
or CC 
compulsory OOV
? . 
 OOV
Short DT
or CC 
long DT
? . 
 OOV
Part-time OOV
or CC 
full-time DT
? . 
 OOV
Paid OOV
or CC 
unpaid JJ 
? . 
 OOV
Would MD 
participants NNS 
live DT
at DT
home DT
and DT
work DT
nearby DT
or CC 
live DT
in DT
barracks OOV
and DT
work DT
on DT
public DT
lands NNS 
? . 
 OOV
What DT
kinds NNS 
of DT
work DT
would MD 
they PRP 
do DT
? . 
 OOV
What DT
does VBZ 
`` `` 
national JJ 
'' '' 
mean DT
? . 
 OOV
Would MD 
the DT
program DT
be DT
run DT
by DT
the DT
federal JJ 
government NN 
, , 
by DT
local JJ 
governments NNS 
, , 
or CC 
by DT
private DT
voluntary JJ 
organizations NNS 
? . 
 OOV
And CC 
who WP 
would MD 
serve DT
? . 
 OOV
Only DT
males NNS 
, , 
as DT
with DT
the DT
draft DT
, , 
or CC 
both DT
sexes NNS 
? . 
 OOV
Youth OOV
only DT
or CC 
all DT
ages NNS 
? . 
 OOV
Middle-class OOV
people DT
, , 
or CC 
poor DT
people DT
, , 
or CC 
a DT
genuine JJ 
cross-section OOV
? . 
 OOV
Many DT
or CC 
few JJ 
? . 
 OOV
Those DT 
are DT
not RB 
trivial JJ 
questions DT
, , 
and DT
the DT
label DT
`` `` 
national JJ 
service DT
'' '' 
answers DT
none NN 
of DT
them DT
. . 
 OOV
Then RB 
how WRB 
should MD 
we DT
think DT
about DT
national JJ 
service DT
? . 
 OOV
As DT
a DT
starting DT
point DT
, , 
here RB 
are DT
five CD 
propositions NNS 
: : 
1 DT
. . 
Consider VB 
the DT
ingredients NNS 
, , 
not RB 
the DT
name DT
. . 
 OOV
Ignore VB 
`` `` 
national JJ 
service DT
'' '' 
in DT
the DT
abstract JJ 
; : 
consider DT
specific DT
proposals NNS 
. . 
 OOV
They PRP 
will DT
differ DT
in DT
crucial JJ 
ways NNS 
. . 
 OOV
2 DT
. . 
`` `` 
Service DT
'' '' 
should MD 
be DT
service DT
. . 
 OOV
As DT
commonly RB 
understood DT
, , 
service DT
implies VBZ 
sacrifice DT
. . 
 OOV
It PRP 
involves VBZ 
accepting VBG 
risk DT
, , 
or CC 
giving VBG 
up DT
income NN 
, , 
or CC 
deferring VBG 
a DT
career NN 
. . 
 OOV
It PRP 
follows VBZ 
that DT
proposals NNS 
like DT
Nunn-McCurdy OOV
, , 
whose WP$ 
benefits DT
to TO 
enrollees NNS 
are DT
worth DT
some DT
$ $ 
17,500 CD 
a DT
year NN 
, , 
do DT
not RB 
qualify DT
. . 
 OOV
There DT
is DT
a DT
rationale NN 
for DT
such DT
bills DT
: : 
Federal DT
subsidies NNS 
to TO 
college NN 
students NNS 
amount DT
to TO 
`` `` 
a DT
GI OOV
Bill DT
without IN 
the DT
GI OOV
'' '' 
; : 
arguably RB 
those DT 
benefits DT
should MD 
be DT
earned DT
, , 
not RB 
given DT
. . 
 OOV
But DT
the DT
earnings DT
exceed DT
by DT
20 DT
% DT
the DT
average DT
income NN 
of DT
young JJ 
high-school DT
graduates DT
with DT
full-time DT
jobs NNS 
. . 
 OOV
Why WRB 
call DT
that DT
service DT
? . 
 OOV
3 DT
. . 
Encouragement OOV
is DT
fine DT
; : 
compulsion OOV
is DT
not RB 
. . 
 OOV
Compelled OOV
service DT
is DT
unconstitutional JJ 
. . 
 OOV
It PRP 
is DT
also RB 
unwise JJ 
and DT
unenforceable OOV
. . 
 OOV
( ( 
Who WP 
will DT
throw DT
several JJ 
hundred CD 
thousand CD 
refusers OOV
in DT
jail NN 
each DT 
year NN 
? . 
) ) 
 OOV
But DT
through DT
tax DT
policy NN 
and DT
in DT
other JJ 
ways NNS 
the DT
federal JJ 
government NN 
encourages VBZ 
many DT
kinds NNS 
of DT
behavior NN 
. . 
 OOV
It PRP 
should MD 
also RB 
encourage DT
service DT
-- : 
preferably RB 
by DT
all DT
classes NNS 
and DT
all DT
ages NNS 
. . 
 OOV
Its PRP$ 
encouragement NN 
should MD 
strengthen DT
and DT
not RB 
undercut DT
the DT
strong DT
tradition NN 
of DT
volunteering OOV
in DT
the DT
U.S. DT
, , 
should MD 
build DT
on DT
the DT
service DT
programs NNS 
already RB 
in DT
existence NN 
, , 
and DT
should MD 
honor DT
local JJ 
convictions NNS 
about DT
which WDT 
tasks NNS 
most DT
need DT
doing VBG 
. . 
 OOV
4 DT
. . 
Good DT
programs NNS 
are DT
not RB 
cheap DT
. . 
 OOV
Enthusiasts NNS 
assume DT
that DT
national JJ 
service DT
would MD 
get DT
important JJ 
work DT
done DT
cheaply RB 
: : 
forest NN 
fires DT
fought DT
, , 
housing NN 
rehabilitated VBN 
, , 
students NNS 
tutored OOV
, , 
day-care NN 
centers DT
staffed VBN 
. . 
 OOV
There DT
is DT
important JJ 
work DT
to TO 
be DT
done DT
, , 
and DT
existing DT
service DT
and DT
conservation NN 
corps DT
have DT
shown VBN 
that DT
even DT
youths NNS 
who WP 
start DT
with DT
few JJ 
skills NNS 
can DT
do DT
much DT
of DT
it PRP 
well DT
-- : 
but DT
not RB 
cheaply RB 
. . 
 OOV
Good DT
service DT
programs NNS 
require DT
recruitment NN 
, , 
screening DT
, , 
training DT
and DT
supervision NN 
-- : 
all DT
of DT
high DT
quality DT
. . 
 OOV
They PRP 
involve DT
stipends OOV
to TO 
participants NNS 
. . 
 OOV
Full-time OOV
residential JJ 
programs NNS 
also RB 
require DT
housing NN 
and DT
full-time DT
supervision NN 
; : 
they PRP 
are DT
particularly RB 
expensive DT
-- : 
more DT
per DT
participant NN 
than DT
a DT
year NN 
at DT
Stanford NNP 
or CC 
Yale NNP 
. . 
 OOV
Non-residential OOV
programs NNS 
are DT
cheaper DT
, , 
but DT
good DT
ones NNS 
still DT
come DT
to TO 
some DT
$ $ 
10,000 CD 
a DT
year NN 
. . 
 OOV
Are DT
they PRP 
worth DT
that DT
? . 
 OOV
Evaluations OOV
suggest DT
that DT
good DT
ones NNS 
are DT
-- : 
especially RB 
so DT
if IN 
the DT
effects DT
on DT
participants NNS 
are DT
counted DT
. . 
 OOV
But DT
the DT
calculations NNS 
are DT
challengeable OOV
. . 
 OOV
5 CD 
. . 
Underclass JJ 
youth NN 
are DT
a DT
special DT
concern DT
. . 
 OOV
Are DT
such DT
expenditures DT
worthwhile JJ 
, , 
then DT
? . 
 OOV
Yes DT
, , 
if IN 
targeted DT
. . 
 OOV
People DT
of DT
all DT
ages NNS 
and DT
all DT
classes NNS 
should MD 
be DT
encouraged DT
to TO 
serve DT
, , 
but DT
there DT
are DT
many DT
ways NNS 
for DT
middle-class DT
kids NNS 
, , 
and DT
their PRP$ 
elders NNS 
, , 
to TO 
serve DT
at DT
little DT
public DT
cost DT
. . 
 OOV
They PRP 
can DT
volunteer DT
at DT
any DT
of DT
thousands NNS 
of DT
non-profit JJ 
institutions NNS 
, , 
or CC 
participate DT
in DT
service DT
programs NNS 
required DT
by DT
high DT
schools NNS 
or CC 
encouraged DT
by DT
colleges NNS 
or CC 
employers NNS 
. . 
 OOV
Underclass JJ 
youth NN 
do DT
n't RB 
have DT
those DT 
opportunities NNS 
. . 
 OOV
They PRP 
are DT
not RB 
enrolled VBD 
in DT
high DT
school DT
or CC 
college NN 
. . 
 OOV
They PRP 
are DT
unlikely DT
to TO 
be DT
employed VBN 
. . 
 OOV
And CC 
they PRP 
have DT
grown DT
up DT
in DT
unprecedentedly OOV
grim JJ 
circumstances NNS 
, , 
among IN 
family NN 
structures NNS 
breaking DT
down DT
, , 
surrounded VBN 
by DT
self-destructive JJ 
behaviors OOV
and DT
bleak JJ 
prospects NNS 
. . 
 OOV
But DT
many DT
of DT
them DT
can DT
be DT
quite DT
profoundly RB 
reoriented OOV
by DT
productive JJ 
and DT
disciplined DT
service DT
. . 
 OOV
Some DT
wo MD 
n't RB 
accept DT
the DT
discipline NN 
; : 
others NNS 
drop DT
out DT
for DT
other JJ 
reasons DT
. . 
 OOV
But DT
some DT
whom WP 
nothing NN 
else DT
is DT
reaching VBG 
are DT
transformed DT
. . 
 OOV
Learning NNP 
skills NNS 
, , 
producing DT
something NN 
cooperatively RB 
, , 
feeling DT
useful JJ 
, , 
they PRP 
are DT
no DT
longer DT
dependent JJ 
-- : 
others NNS 
now DT
depend DT
on DT
them DT
. . 
 OOV
Even DT
if IN 
it PRP 
is DT
cheaper DT
to TO 
build DT
playgrounds OOV
or CC 
paint DT
apartments NNS 
or CC 
plant DT
dune-grass OOV
with DT
paid DT
professionals NNS 
, , 
the DT
effects DT
on DT
the DT
young JJ 
people DT
providing VBG 
those DT 
services DT
alter DT
the DT
calculation NN 
. . 
 OOV
Strictly OOV
speaking DT
, , 
these DT 
youth NN 
are DT
not RB 
performing VBG 
service DT
. . 
 OOV
They PRP 
are DT
giving VBG 
up DT
no DT
income NN 
, , 
deferring VBG 
no DT
careers NNS 
, , 
incurring OOV
no DT
risk DT
. . 
 OOV
But DT
they PRP 
believe DT
themselves PRP 
to TO 
be DT
serving VBG 
, , 
and DT
they PRP 
begin DT
to TO 
respect DT
themselves PRP 
( ( 
and DT
others NNS 
) ) 
, , 
to TO 
take DT
control DT
of DT
their PRP$ 
lives DT
, , 
to TO 
think DT
of DT
the DT
future DT
. . 
 OOV
That DT
is DT
a DT
service DT
to TO 
the DT
nation NN 
. . 
 OOV
It PRP 
is DT
what DT
federal JJ 
support DT
should MD 
try DT
hardest DT
to TO 
achieve DT
. . 
 OOV
Mr. NNP 
Szanton OOV
, , 
a DT
Carter NNP 
administration NN 
budget NN 
official DT
, , 
heads DT
his DT
own DT
Washington-based JJ 
strategic JJ 
planning DT
firm DT
. . 
 OOV
He PRP 
is DT
a DT
co-author NN 
of DT
`` `` 
National DT
Service DT
: : 
What DT
Would MD 
It PRP 
Mean OOV
? . 
'' '' 
 OOV
( ( 
Lexington NNP 
Books DT
, , 
1986 CD 
) ) 
. . 
 OOV
Government DT
officials NNS 
here RB 
and DT
in DT
other JJ 
countries NNS 
laid DT
plans DT
through DT
the DT
weekend NN 
to TO 
head DT
off DT
a DT
Monday NNP 
market DT
meltdown NN 
-- : 
but DT
went VBD 
out DT
of DT
their PRP$ 
way DT
to TO 
keep DT
their PRP$ 
moves DT
quiet DT
. . 
 OOV
Federal DT
Reserve NNP 
Chairman DT
Alan NNP 
Greenspan NNP 
was VBD 
on DT
the DT
telephones NNS 
, , 
making DT
it PRP 
clear DT
to TO 
officials NNS 
in DT
the DT
U.S. DT
and DT
abroad RB 
that DT
the DT
Fed NNP 
was VBD 
prepared DT
to TO 
inject VB 
massive JJ 
amounts DT
of DT
money NN 
into IN 
the DT
banking DT
system NN 
, , 
as DT
it PRP 
did VBD 
in DT
October NNP 
1987 CD 
, , 
if IN 
the DT
action NN 
were VBD 
needed DT
to TO 
prevent DT
a DT
financial JJ 
crisis NN 
. . 
 OOV
And CC 
at DT
the DT
Treasury DT
, , 
Secretary NNP 
Nicholas DT
Brady NNP 
talked DT
with DT
friends NNS 
and DT
associates NNS 
on DT
Wall NNP 
Street DT
while DT
Assistant NNP 
Secretary NNP 
David NNP 
Mullins NNP 
carefully RB 
analyzed DT
data DT
on DT
the DT
Friday NNP 
market DT
plunge DT
. . 
 OOV
But DT
the DT
officials NNS 
feared DT
that DT
any DT
public DT
announcements NNS 
would MD 
only DT
increase DT
market DT
jitters NNS 
. . 
 OOV
In DT
addition NN 
, , 
officials NNS 
at DT
the DT
Fed NNP 
and DT
in DT
the DT
Bush NNP 
administration NN 
decided DT
that DT
avoiding VBG 
overt OOV
actions NNS 
and DT
statements NNS 
over DT
the DT
weekend NN 
would MD 
give DT
them DT
more DT
strength NN 
and DT
flexibility NN 
should MD 
Friday NNP 
's DT
market DT
drop DT
turn DT
into IN 
this DT
morning NN 
's DT
rout NN 
. . 
 OOV
`` `` 
The DT
disadvantage NN 
at DT
this DT
point DT
is DT
that DT
anything NN 
you PRP 
do DT
that DT
looks DT
like DT
you PRP 
are DT
doing VBG 
too RB 
much DT
tends VBZ 
to TO 
reinforce DT
a DT
sense DT
of DT
crisis NN 
, , 
'' '' 
said DT
one DT
government NN 
official DT
, , 
insisting VBG 
on DT
anonymity NN 
. . 
 OOV
The DT
Fed NNP 
's DT
efforts NNS 
at DT
secrecy NN 
were VBD 
partly RB 
foiled DT
Sunday NNP 
morning NN 
, , 
when WRB 
both DT
the DT
New DT
York NNP 
Times DT
and DT
the DT
Washington NNP 
Post NNP 
carried DT
stories NNS 
quoting VBG 
a DT
senior JJ 
Fed NNP 
official DT
saying DT
the DT
central DT
bank DT
was VBD 
prepared DT
to TO 
pour DT
cash DT
into IN 
the DT
banking DT
system NN 
Monday NNP 
morning NN 
. . 
 OOV
Fed NNP 
Chairman DT
Greenspan NNP 
was VBD 
surprised DT
by DT
both DT
stories NNS 
, , 
according VBG 
to TO 
knowledgeable JJ 
sources NNS 
, , 
and DT
insisted DT
he PRP 
had DT
n't RB 
authorized DT
any DT
public DT
comment DT
. . 
 OOV
Nevertheless RB 
, , 
Fed NNP 
officials NNS 
acknowledged DT
the DT
stories NNS 
were VBD 
reasonably RB 
accurate JJ 
portrayals OOV
of DT
the DT
central DT
bank DT
's DT
game NN 
plan DT
. . 
 OOV
It PRP 
is DT
prepared DT
to TO 
assume DT
the DT
same JJ 
role NN 
it PRP 
played DT
in DT
October NNP 
1987 CD 
, , 
providing VBG 
money NN 
to TO 
the DT
markets DT
if IN 
necessary JJ 
to TO 
keep DT
the DT
financial JJ 
system NN 
afloat RB 
. . 
 OOV
The DT
Fed NNP 
provides VBZ 
money NN 
to TO 
the DT
banking DT
system NN 
by DT
buying DT
government NN 
securities NNS 
from IN 
financial JJ 
institutions NNS 
. . 
 OOV
The DT
reticence OOV
of DT
federal JJ 
officials NNS 
was VBD 
evident JJ 
in DT
the DT
appearance NN 
Sunday NNP 
of DT
Budget DT
Director NNP 
Richard NNP 
Darman NNP 
on DT
ABC NNP 
's DT
`` `` 
This DT
Week DT
. . 
'' '' 
 OOV
`` `` 
Secretary NNP 
of DT
the DT
Treasury DT
Brady NNP 
and DT
Chairman DT
Greenspan NNP 
and DT
the DT
chairman NN 
of DT
the DT
SEC NNP 
and DT
others NNS 
have DT
been VBN 
in DT
close DT
contact DT
. . 
 OOV
I DT
'm VBP 
sure DT
they PRP 
'll MD 
do DT
what DT
's DT
right DT
, , 
what DT
's DT
prudent JJ 
, , 
what DT
's DT
sensible DT
, , 
'' '' 
he PRP 
said DT
. . 
 OOV
When WRB 
it PRP 
was VBD 
suggested DT
his DT
comment DT
was VBD 
a DT
`` `` 
non-answer OOV
, , 
'' '' 
Mr. NNP 
Darman NNP 
replied DT
: : 
`` `` 
It PRP 
is DT
a DT
non-answer OOV
. . 
 OOV
But DT
, , 
in DT
this DT
context NN 
, , 
that DT
's DT
the DT
smart JJ 
thing NN 
to TO 
do DT
. . 
'' '' 
 OOV
At IN 
the DT
Treasury DT
, , 
Secretary NNP 
Brady NNP 
issued DT
a DT
statement NN 
minimizing VBG 
the DT
stock DT
market DT
's DT
drop DT
. . 
 OOV
`` `` 
Today DT
's DT
stock DT
market DT
decline DT
does VBZ 
n't RB 
signal DT
any DT
fundamental JJ 
change DT
in DT
the DT
condition NN 
of DT
the DT
economy NN 
, , 
'' '' 
he PRP 
said DT
. . 
 OOV
`` `` 
The DT
economy NN 
remains DT
well-balanced JJ 
, , 
and DT
the DT
outlook NN 
is DT
for DT
continued DT
moderate DT
growth DT
. . 
'' '' 
 OOV
But DT
administration NN 
officials NNS 
conceded DT
that DT
Friday NNP 
's DT
drop DT
carried DT
the DT
chance DT
of DT
further DT
declines DT
this DT
week NN 
. . 
 OOV
`` `` 
One DT
possibility NN 
is DT
that DT
this DT
is DT
a DT
surgical JJ 
setback NN 
, , 
reasonably RB 
limited DT
in DT
its PRP$ 
breadth NN 
, , 
and DT
not RB 
a DT
major DT
problem NN 
, , 
'' '' 
said DT
one DT
senior JJ 
administration NN 
official DT
, , 
who WP 
also RB 
asked DT
that DT
he PRP 
not RB 
be DT
named DT
. . 
 OOV
`` `` 
The DT
other JJ 
is DT
that DT
we DT
see DT
another DT 
major DT
disaster NN 
, , 
like DT
two CD 
years NNS 
ago DT
. . 
 OOV
I DT
think DT
that DT
's DT
less DT
likely DT
. . 
'' '' 
 OOV
Nevertheless RB 
, , 
Fed NNP 
Chairman DT
Greenspan NNP 
and DT
Vice NNP 
Chairman DT
Manuel NNP 
Johnson NNP 
were VBD 
in DT
their PRP$ 
offices NNS 
Sunday NNP 
evening NN 
, , 
monitoring DT
events NNS 
as DT
they PRP 
unfolded VBD 
in DT
markets DT
around DT
the DT
world NN 
. . 
 OOV
The DT
action NN 
was VBD 
expected DT
to TO 
begin DT
with DT
the DT
opening DT
of DT
the DT
New DT
Zealand NNP 
foreign JJ 
exchange DT
markets DT
at DT
5 CD 
p.m. DT
EST DT
-- : 
when WRB 
stocks DT
there DT
plunged DT
-- : 
and DT
to TO 
continue DT
as DT
the DT
trading DT
day NN 
began VBD 
later DT
in DT
the DT
evening NN 
in DT
Tokyo NNP 
and DT
through DT
early DT
this DT
morning NN 
in DT
Europe NNP 
. . 
 OOV
Both DT
the DT
Treasury DT
and DT
the DT
Fed NNP 
planned DT
to TO 
keep DT
market DT
rooms NNS 
operating DT
throughout IN 
the DT
night DT
to TO 
monitor DT
the DT
developments NNS 
. . 
 OOV
In DT
Tokyo NNP 
, , 
share DT
prices NNS 
dropped DT
sharply RB 
by DT
1.7 CD 
% DT
in DT
early DT
Monday NNP 
morning NN 
trading DT
. . 
 OOV
After DT
the DT
initial DT
slide DT
, , 
the DT
market DT
appeared DT
to TO 
be DT
turning DT
around DT
but DT
by DT
early DT
afternoon NN 
was VBD 
headed DT
lower DT
. . 
 OOV
In DT
the DT
Bush NNP 
administration NN 
, , 
the DT
lead DT
is DT
being DT
taken VBN 
by DT
Treasury DT
Secretary NNP 
Brady NNP 
, , 
Undersecretary NNP 
Robert NNP 
Glauber NNP 
and DT
Assistant NNP 
Secretary NNP 
Mullins NNP 
. . 
 OOV
The DT
three CD 
men NNS 
worked DT
together DT
on DT
the DT
so-called DT
Brady NNP 
Commission DT
, , 
headed DT
by DT
Mr. NNP 
Brady NNP 
, , 
which WDT 
was VBD 
established DT
after DT
the DT
1987 CD 
crash DT
to TO 
examine VB 
the DT
market DT
's DT
collapse DT
. . 
 OOV
As DT
a DT
result DT
they PRP 
have DT
extensive JJ 
knowledge NN 
in DT
financial JJ 
markets DT
, , 
and DT
financial JJ 
market DT
crises NNS 
. . 
 OOV
Mr. NNP 
Brady NNP 
was VBD 
at DT
the DT
White DT
House DT
Friday NNP 
afternoon NN 
when WRB 
the DT
stock DT
market DT
's DT
decline DT
began VBD 
. . 
 OOV
He PRP 
was VBD 
quickly RB 
on DT
the DT
phone DT
with DT
Mr. NNP 
Mullins NNP 
, , 
who WP 
in DT
turn DT
was VBD 
talking DT
with DT
the DT
chairmen NNS 
of DT
the DT
New DT
York NNP 
and DT
